query,docid,contents,modality,relevant
gut microbiota changes during viral infection,microorganisms-13-02529_chunk4,", 26 ]. Dysbiosis is characterized by a change in the gut microbiota that is involved in homeostasis, which can cause the proliferation of microorganisms that are harmful to the host’s health. These harmful bacteria can cause increased production of certain endotoxins, which are subsequently released into the bloodstream, causing a severe immune system response, producing an increase in inflammation resulting from the release of pro-inflammatory cytokines [ 17 ]. To date, it is known that SARS-CoV-2 infection is associated with significant alterations in gut microbial composition, disturbing its homeostasis and promoting a reduction in the abundance of beneficial symbiotic bacteria and an increase in the abundance of opportunistic pathogens [ 3 ]. Despite the existence of studies on the composition and changes in the gut microbiota during infection, little is known about why these symptoms and changes persist after the recovery period [ 10 , 27 ]. Furthermore, post-COVID dysbiosis has often been associated with the severity of the disease [ 3 ]. Therefore, this study discusses the effects of changes in the gut microbiota in post-COVID-19 patients. 2. Gut–Lung and Gut–Brain Axis The gut–lung axis has attracted increasing interest, as there is evidence that the microbiota of the intestinal tract and the respiratory tract influence each other. Angiotensin-converting enzyme 2 (ACE-2) is one of the main primary receptors for the entry of the SARS-CoV-2 virus into human cells, being highly expressed in the respiratory and intestinal tracts, among other organs. During SARS-CoV-2 infection, the ACE-2 enzyme may decrease",text,1
gut microbiota changes during viral infection,spectrum.02674-21_chunk32,"study, we analyzed the impact of influenza on hHFM and oHFM microbiota in humanized pigs in terms of microbiome composition on the immune system maturation and elucidate the complex interactions between the host immune system-microbiome-influenza. Further, this study provided baseline information about the minimal time required for differential maturation of the immune system during influenza infection using hHFM and oHFM microbiota humanized pig models. Gn pigs not transplanted with any human children microbiota remained free from any microbes in their gut, and when they were infected with influenza suffered from exacerbated disease compared with HFM transplanted experimental animals (data not shown). In 3-weeks oHFM transplanted piglets reduced challenge virus load in the lungs was observed. In the 5-weeks oHFM transplanted piglets infected with a trend in the reduction of the virus load in the nasal passage (but not in the lungs), was observed which was correlated with an increased pro-inflammatory cytokines IL-12 and TNF-α expression in the TBLN. This result suggests that the longer (5 weeks) the microbes colonize in oHFM humanized pigs, the higher the trigger in the pro-inflammatory mediator secretion to influenza in the respiratory immune system. A study suggested that gut microbiome plays a vital role to response to influenza viral infection ( 41 ). Compared with healthy lean mice the obese mice infected with influenza virus exhibited higher lung inflammatory response, lung damage, and viral burden ( 42 ). In obese mice, the greater lung damage and delayed expression of the pro-inflammatory cytokines IL-6, TNF-α, and",text,1
gut microbiota changes during viral infection,microorganisms-13-02529_chunk0,"Changes in the Gut Microbiota of Patients After SARS-CoV-2 Infection: What Do We Know? COVID-19 can cause long-term symptoms, such as a post-infection syndrome, known as Long-COVID. Among the symptoms present during this period, the most reported are gastrointestinal symptoms. This study discusses the effects of changes in the gut microbiota of post-COVID-19 patients. SARS-CoV-2 infection is associated with significant alterations in gut microbial composition, disturbing its homeostasis and promoting a reduction in the abundance of beneficial symbiotic bacteria and an increase in the abundance of opportunistic pathogens. Furthermore, the composition of the gut microbiota may play a role in the prognosis of patients with post-COVID-19 infection. The microbiota of the intestinal tract and the respiratory tract influence each other; therefore, the gut–lung axis has attracted increasing interest in understanding COVID-19. Moreover, the brain–gut axis has been studied, since there have been reports of anxiety and depression along with post-COVID-19 gastrointestinal symptoms. Treatments options for intestinal dysbiosis in Long-COVID patients include probiotics, prebiotics, and fecal microbiota transplantation. These treatments may serve as an approach to improve gastrointestinal symptoms during Long-COVID, increasing microbiome diversity, strengthening the integrity of intestinal barrier functions, and consequently influencing the treatment of COVID-19. 1. Introduction On 30 January 2020, the World Health Organization (WHO) declared that the pandemic of the new coronavirus SARS-CoV-2, which causes the disease COVID-19, was considered a public health emergency of international importance [ 1 ]. Currently, COVID-19 has a prevalence of more than 775 million confirmed cases, resulting in more than",text,1
gut microbiota changes during viral infection,KGMI_14_2057779_chunk35,"MFD on gut health and growth performance in offspring was attributed to the manipulation of maternal nutrition as a consequence of the comprehensive effects of the vertical transmission of microbes and milk metabolites. Notably, the correlation analysis revealed that small peptides and the pH of the MFD dramatically shaped the gut microbiota of sows. Studies have indicated that maternal diets during pregnancy can affect gut health and the risk of pathogen infection in offspring in early and late life. 39–42 In this study, the effects of the MFD on the longitudinal and horizontal assembly of the gut microbiota in offspring during lactation were investigated. The MFD significantly improved the diversity and abundance of gut Firmicutes in offspring on day 28. The results revealed that the effects of the MFD on the development of the gut microbiota depended on time. Interestingly, the MFD accelerated the maturation of the gut microbiota in offspring. Additionally, the microbiota on day 14 had the highest number of correlations and level of abundance, indicating that they may have undergone remarkable changes and play an important role in the development of the gut microbiota in offspring. 41 Furthermore, the number of gut microbial interaction edges decreased as the offspring aged, demonstrating that the gut microbiota shifted from the initial significant changes to a steady state during lactation. The structural and functional dynamics of the gut microbiome in offspring can be used as an indicator of growth and health. 43 A mature gut microbiome in suckling offspring is",text,0
gut microbiota changes during viral infection,11306_2025_Article_2259_chunk49,"are gut-derived metabolites suggests that bariatric surgery induced changes in their gut microbiota. Ghini et al. ( 2020 ) used 1 H NMR to measure the effect of probiotics on gut microbiota and serum metabolome. They found that serum pyruvate, phenylalanine and proline levels were increased over the course of probiotic treatment in healthy subjects. Overall, these data clearly show that individual differences in gut microbiota as well as interventions, such as surgical procedures or dietary modifications that alter the gut microbiota, can significantly affect the serum or plasma metabolome. In this regard, the gut microbiome must be considered as a potential confounding factor in the interpretation of NMR-based metabolomic studies. Effects of health status An individual’s health status can significantly influence their NMR-detectable serum, plasma or whole blood metabolome. These health-status effects can be broadly distinguished according to whether the condition is acute or chronic. Acute diseases, such as viral infections, including influenza (Banoei et al., 2017 ), and SARS-CoV-2 (Bruzzone et al., 2020 , 2023 ), sepsis (Mickiewicz et al., 2018 ) as well as acute lung diseases (Dasgupta et al., 2023 ) have been shown to cause broad alterations in the composition of NMR-detectable blood, serum and plasma metabolomes. Similar metabolome-wide effects have been shown for acute organ injuries, including acute damage to the liver (Amathieu et al., 2016 ) and kidney (Zacharias et al., 2015 ). Numerous chronic diseases have likewise been associated with significant changes in the NMR-detectable blood, serum and plasma metabolomes, including cardiovascular",text,0
gut microbiota changes during viral infection,elaf011_chunk25,"of essential vitamins, enabling gut barrier protection, and maintaining a healthy immune system [ 92 , 93 ]. The gut microbiome is composed of both pathogenic and non-pathogenic microbes and can be impacted by several factors; however, the population of pathogenic bacteria cannot be fully eradicated from the system. A healthy symbiosis between the pathogenic and non-pathogenic microbial communities underlies overall health status [ 94 ]. Cumulative data from various studies have shown that dysbiosis of healthy gut microbiota can hamper essential physiological processes such as insulin sensitivity, functioning of the nervous system, GI activity, and emotional regulation [ 95 , 96 ]. Akin to bacteria, bacteriophages are abundant life forms that are ubiquitously present even inside the human body. The ratio of virotypes with respect to species-level bacterial population is about 10:1 [ 97 ]. This implies that there is a vast viral population that is still unexplored inside the gut microbiome, which can aid in providing a better understanding of human gut populations. Studies that employed metagenomic analysis on the viral population obtained from fecal matter have revealed that ~81%–93% of the bacterial viruses in the GI tract are novel at that point of time and cannot be traced to a definitive taxonomic position of the compatible bacterial host [ 98 ]. Research in healthy human hosts has also brought forth data suggesting that a significant diversity exists between the phageomes in different individuals. Minot et al. delineated that gut bacteriophages exhibiting a lysogenic life cycle and remaining",text,1
gut microbiota changes during viral infection,ijms-23-14898_chunk10,"the gastrointestinal tract [ 22 ]. 2. Intestinal Microbiota and Systemic Protection In this context, the involvement of the gut microbiota could play an important role in the COVID-19 phenomenon perhaps not yet sufficiently considered. From a clinical point of view, the elderly patient presents a dysregulation of microbial homeostasis and neurodegeneration that can lead to a condition of greater fragility. This condition manifests itself as a reduced functional reserve, reduced resistance to stress, increased susceptibility to disease, mood, and increased risk of adverse health outcomes [ 23 ]. The gut could serve as a reservoir for acute respiratory syndrome COVID-19. Evidence reported that the intestinal microbiota is really altered in SARS-CoV-2 infection [ 24 , 25 ]. In addition, Zuo et al. found that the loss of beneficial species in SARS-CoV-2 persists for a long time in most patients suggesting that exposure to SARS-CoV-2 infection and/or hospitalization may be associated with lasting damage to the intestinal microbiota [ 25 ]. In particular, a condition of dysbiosis, perturbations in the structural and, therefore, functional dynamics of the intestinal microbiota, could have a crucial role in COVID-19 disease. Physiologically, the microbiota protects the intestine from colonization of exogenous pathogens and potentially dangerous autochthonous microorganisms. Man has evolved side by side with microbes. The mammalian intestine is colonized by trillions of microorganisms, and most of these are bacteria that evolved together with the host in a symbiotic relationship, ensuring the state of immunosurveillance of the organism. It is well-known that the microbiota",text,1
gut microbiota changes during viral infection,fmicb-10-00322_chunk2,"of microbes providing many biological functions to the host ( Bäckhed et al., 2007 ; Chen et al., 2017 ). Intestinal microbiota assists in maintaining normal functioning of the intestinal mucosal barrier and contributes to the development of the host immune system ( Fernández et al., 2003 ; Ivanov et al., 2009 ; Garrett et al., 2010 ). Increasingly, evidence indicates that gut microbiota may play a crucial role in the regulation, elimination and potentiation of infectious diseases ( McKenney and Pamer, 2015 ; Niederwerder, 2017 ). For many years, studies investigating the relationship between gut microbiota and disease have focused on pathogens ( Niederwerder, 2017 ). However, age is also a very important factor in shaping gut microbiota ( Shibata et al., 2000 ). In pigs, dynamic changes in the percentage of gut microbiota were observed at different growth stages and under different conditions ( Park et al., 2014 ; Kim et al., 2015 ). Previous studies have shown that PEDV may induce an imbalance in the gut microbiota of piglets and sows, leading to a reduction in commensal bacteria, and an increase in pathogenic bacteria ( Kou et al., 2015 ; Liu S. et al., 2015 ; Song et al., 2017 ; Huang et al., 2018 ). However, characterization of gut microbiota in PEDV-infected piglets at different growth stages has been limited. The current study compared gut bacterial communities of healthy piglets with those affected with PED, and evaluated dynamic changes in the gut microbiota of PEDV-infected piglets.",text,1
gut microbiota changes during viral infection,ijms-23-14898_chunk20,"and associated inflammatory disorders. The composition of the gut microbiota is related to circulating cytokine levels and health indicators in the elderly [ 12 ]. If the gut microbiota is an age-associated inflammation factor, this would mean that age-related changes in the gut microbiota represent a form of microbial dysbiosis. A physiological translocation of microbial products is present throughout life; however, with aging, this microbial translocation increases and favours dysbiosis conditions. This feed-forward process increases over the years. In conditions of alteration of the epithelial barrier, the COVID-19 virus finds a fertile ground. Age-associated inflammation is a strong risk factor for mortality in the elderly. Patients with higher levels of inflammatory markers are more likely to be hospitalized, and have higher mortality rates, are fragile, are less independent and are more likely to experience late disease [ 64 , 67 ]. Finally, inflammation in the elderly increases the susceptibility to pneumococcal infection, and is associated with a rise in disease severity and reduced survival [ 68 ]. Current research confirms that the intestinal microbiota is significantly altered in SARS-CoV-2 infection, highlighting the crucial role of microbiota in modulating the human response to SARS-CoV-2 infection [ 25 , 28 ]. Interestingly, the alterations are characterized by an opportunistic growth of pathogens while, at the same time, there is a dramatic decrease in beneficial commensal microorganisms [ 25 ]. Studies have reported the intimate relationship between infection and gut microbiota dysbiosis and have shown that infection is associated not only with gut",text,1
gut microbiota changes during viral infection,microorganisms-13-02529_chunk21,"carefully evaluated before broader clinical application [ 35 ]. 5. Conclusions The persistence of gastrointestinal symptoms in Long-COVID highlights the importance of the gut microbiota in post-infection recovery. An imbalance in the composition of microbiota can lead to an increase in opportunistic bacteria and a decrease in beneficial bacteria, which are important for maintaining and supporting the immune system. Therefore, the composition of the gut microbiota may play a role in the prognosis of patients with post-COVID-19 infection. Therapeutic approaches such as probiotics, prebiotics, symbiotics, and FMT demonstrate potential benefits in modulating the microbiota and alleviating symptoms, although results remain heterogeneous and strain- or method-dependent. Considering the multifactorial origin of Long-COVID, further research is essential to better elucidate the mechanisms underlying gastrointestinal involvement and to develop safe and effective microbiota-targeted interventions. The main knowledge gaps in this study include the need for longitudinal studies in humans, standardization of microbiome analysis pipelines, and results from interventional trials.",text,1
gut microbiota changes during viral infection,rsob-10-200199_chunk19,"in the treatment of diarrhoea [ 38 ]. Finally, the virome comprises all the virus-like particles associated with the GI tract; it is mainly composed of two groups, eukaryotic viruses and prokaryotic virus also known as bacteriophages [ 39 ]. Eukaryotic viruses are able to interact with human body as pathogens, agents causing acute or persistent infections, or as benign agents, or even symbiotic agents without affecting the human body [ 40 ]. Bacteriophages are the principal component of the GI tract virome by their ability to infect bacteria and archaea [ 41 , 42 ]. Their distribution across the GI tract is varied but average is 109 particles per gram [ 39 ]. Bacteriophages from the human gut principally belong to the virus families Myoviridae, Podoviridae and Siphoviridae [ 43 ] and in general, opposed to bacterial population, the bacteriophage community in the human gut is highly personalized [ 44 ]. All these findings suggest a specific role that can be expected from each intestinal microbiome constituent to govern the balance of the intestinal ecosystem, a hypothesis constituting the subject of emerging research. 1.3. Microbiota and intestine changes during intestinal infection Microbial pathogens such as parasites, bacteria and viruses, that are normally only present transiently in the intestine, can colonize or invade intestinal tissue under abnormal conditions [ 45 ]. In humans, the most common intestinal parasitic infections are caused by helminths and protozoans. Intestinal helminths are worms, of which the most common cases are nematodes, cestodes and trematodes",text,1
gut microbiota changes during viral infection,ijms-20-02432_chunk4,"7 ]. Normal gut microbiota comprises mostly several genera of Gram-positive Firmicutes and many different Gram-negative bacteroidetes like Bacteroides, Prevotella, Parabacteroides , and Alistipes . In addition, several other phyla, including the Proteobacteria, Actinobacteria, Fusobacteria, Verrucomicrobia , methanogenic archaea, Eukarya (protists and fungi), and other more transient colonizers, are found to be part of the human GI microbiome. Claesson et al. reported that younger individuals between 28 and 46 years of age show higher Firmicutes-to-Bacteroidetes ratio than elderly individuals above 65 years of age [ 8 ]. It is further reported that 386 of the identified species are anaerobic and, hence, are located in mucosal regions like the oral cavity and GI tract [ 7 ]. Besides exhibiting diversity in composition, the gut microbiota also shows region-/country-specific microbial signatures which further signify that the microbiome is greatly affected by diet as well as the host genetics including age, race, and sex of individuals ( Figure 1 ). However, possibility of functional redundancy between different compositions of gut microbiota cannot be ruled out [ 9 , 10 ]. The host body gets several benefits from these microbes viz. strengthening of gut integrity, food metabolism, protection against virulent pathogens, and regulation of innate immunity [ 11 , 12 , 13 , 14 ]. However, if the composition of gut microbiota is altered (dysbiosis), these mechanisms may be disrupted, leading to several inflammatory and other diseases and infections. The GI tract is colonized by commensal bacteria shortly after birth and the simple bacterial",text,1
gut microbiota changes during viral infection,fmicb-16-1481567_chunk46,"structures such as crypts and villi, where gut microbiota mainly colonizes, leads to significant changes in the gut microbiota composition. Here, we analyzed the recovering potential of gut microbiota by comparing the gut microbiota of a healthy group (group CON) with that of dogs accidentally infected with CPV-2 at 14 weeks of age (group CPV-low and group CPV-high). In detail, the CPV group was subdivided based on their CPV-2 infectious dose compared with 16S rRNA ( Supplementary Figure 1 ). Additionally, the CPV-high group was excluded from the analysis at 21 and 28 weeks of age due to the death of dogs. Our results suggested that CPV-2 infection may serve as a potential risk factor for gut microbiota dysbiosis, altering the α- and β-diversity and the taxonomic composition at the early phase of infection. Further, the degree of gut microbiota dysbiosis was correlated with the CPV-2 infection dose. Group CPV-high showed significant differences in α- and β-diversity and the taxonomic composition of gut microbiota when compared to group CON. Group CPV-low showed no significant differences in α- and β-diversity relative to group CON but there was a marked change in taxonomic composition, although to a lesser extent than that in group CPV-high. Compared to group CON, an increase in the relative abundance of Pseudomonadota was observed in the composition of gut microbiota in group CPV-high and CPV-low. Pseudomonadota include representative pathogenic genera such as Escherichia , Salmonella , and Vibrio ( Mukhopadhya et al., 2012 ). Helicobacter , are normal",text,1
gut microbiota changes during viral infection,microorganisms-13-01963_chunk1,"and local ecological influences. This research emphasizes the importance of population-specific microbiome studies and highlights the need to include appropriately matched controls in future investigations. 1. Introduction The human gastrointestinal (GI) tract is inhabited by an extensive and intricate ecosystem of microorganisms, commonly known as the gut microbiota [ 1 ]. This community consists of trillions of microbes, including bacteria, archaea, viruses, and fungi, with bacteria being the most extensively studied due to their significant roles in human health and disease [ 2 ]. In healthy individuals, these microorganisms perform a variety of essential physiological functions, such as aiding in the digestion of complex carbohydrates, producing short-chain fatty acids (SCFAs), synthesizing vitamins, and modulating the host’s immune system [ 3 ]. The dominant bacterial phyla found in the gut are Firmicutes and Bacteroidetes. Other significant groups include Actinobacteria, Proteobacteria, and Verrucomicrobia. The relative abundance of these phyla is often assessed through the Firmicutes/Bacteroidetes (F/B) ratio, which has been suggested as a potential marker of gut health and may reflect the overall balance of microbial populations [ 4 ]. However, it is essential to recognize that the composition of the gut microbiota is highly individualized and influenced by a multitude of factors. These include host genetics, age, geographical location, dietary habits, exposure to antibiotics, and various environmental influences [ 5 ]. Such variability underscores the complexity of the gut microbiome and its significant role in human health, suggesting that personalized approaches may be necessary to understand and promote gut health in",text,1
gut microbiota changes during viral infection,fmicb-10-00322_chunk0,"Dynamic Change of Gut Microbiota During Porcine Epidemic Diarrhea Virus Infection in Suckling Piglets Porcine epidemic diarrhea (PED) is a disease that has a devastating effect on livestock. Currently, most studies are focused on comparing gut microbiota of healthy piglets and piglets with PED, resulting in gut microbial populations related to dynamic change in diarrheal piglets being poorly understood. The current study analyzed the characteristics of gut microbiota in porcine epidemic diarrhea virus (PEDV)-infected piglets during the suckling transition stage. Fresh fecal samples were collected from 1 to 3-week-old healthy piglets ( n = 20) and PEDV infected piglets ( n = 18) from the same swine farm. Total DNA was extracted from each sample and the V3–V4 hypervariable region of the 16S rRNA gene was amplified and sequenced using the Illumina MiSeq platform. Statistically significant differences were observed in bacterial diversity and richness between the healthy and diarrheal piglets. Principal coordinates analysis (PCoA) showed structural segregation between diseased and healthy groups, as well as among 3 different age groups. The abundance of Escherichia-Shigella , Enterococcus , Fusobacterium , and Veillonella increased due to dysbiosis induced by PEDV infection. Notably, there was a remarkable age-related increase in Fusobacterium and Veillonella in diarrheal piglets. Certain SCFA-producing bacteria, such as Ruminococcaceae_UCG-002 , Butyricimonas , and Alistipes , were shared by all healthy piglets, but were not identified in various age groups of diarrheal piglets. In addition, significant differences were observed between clusters of orthologous groups (COG) functional categories of healthy and PEDV-infected",text,1
gut microbiota changes during viral infection,41598_2021_Article_92740_chunk15,"calprotectin are unrelated to fecal viral load. Boxplots show median + / − IQR and p values are calculated by Mann–Whitney test. The gut microbiome of COVID-19 patients is altered by antibiotic exposure but unrelated to disease severity or GI symptoms A common feature of intestinal inflammation is disruption to the structure and diversity of the gut microbiota (dysbiosis) and there have been reports of gut microbiota changes in COVID-19 patients 7 . We evaluated the fecal microbiome of the COVID-19 patient cohort by both metagenomic shotgun and 16S rRNA gene amplicon sequencing. Analysis of both datasets revealed no features of composition, structure or diversity that associated with disease severity (Fig. 4 A,B). Furthermore, we found no consistent changes in gut microbiome composition or richness in samples from patients reporting diarrhea, although the Shannon entropy, a metric of community richness and evenness, was slightly lower in samples with higher Bristol scores ( p = 0.034; Fig. 4 C,D). Patients currently or recently treated with antibiotics, particularly vancomycin and/or ceftriaxone showed significant compositional disruption and reduced diversity as measured by both 16S ( p = 0.03) and metagenomic ( p = 0.0079) sequencing (Fig. 4 E,F). These data further support a relative lack of severe inflammation, which would be expected to skew the composition of the microbiota, and suggests that antibiotic therapy, common among hospitalized COVID-19 patients, has a greater impact on the gut microbiome than SARS-CoV-2 infection itself, regardless of GI symptoms or clinical course. Figure 4 Gut microbiome and",text,1
chest X-ray findings in pneumonia,healthcare-09-00522_chunk34,"The performance of the proposed method in this paper has been compared with other published papers [ 43 , 44 , 45 , 46 , 47 , 48 , 49 , 50 , 51 , 52 ] and has been shown in the Table 4 . 4. Conclusions The COVID-19 pandemic cases are rising daily. There is a shortage of resources in many countries, and it is critical to identify every suspected positive infection as quickly as possible to stop the spread of the infection. This paper presented some initial findings using a DL model to detect COVID-19 positive cases from chest X-ray images. Important performance improvements were demonstrated on the same chest X-ray-pneumonia dataset over the COVID-Net dataset. The findings look positive, although the size of the dataset that is publicly accessible is limited. The proposed approach is based on the CNN model designed to use chest X-ray images to classify COVID-19 infections. The performance of the proposed technique was verified on a small publicly accessible chest X-ray images dataset of different pneumonia and COVID-19 cases. The proposed CoVIRNet is cost-effective in terms of measurement and produces promising results. We predict that the proposed CoVIRNet will be a useful tool for radiologists and health officials to gain a better understanding of important aspects associated with COVID-19 cases.",text,0
chest X-ray findings in pneumonia,tropicalmed-07-00238_chunk8,"is a tool used as an assessment scheme for chest X-ray findings to diagnose and monitor patients with COVID-19 pneumonia. Rama Co-RADS has been proposed and utilized throughout our institution ( Table S1 ) [ 14 ]. This tool facilitates concise and objective communication between radiologists and physicians regarding the presence and changes of pulmonary abnormalities along with the clinical presentation. The criteria for improvement in chest X-ray or stability were determined for patients who had at least two chest X-rays performed at different time points. The definitions used were as follows: (i) chest X-ray remained within the same category; (ii) chest X-ray changed within category 1, 2, and C; and (iii) improvement on repeated chest X-ray to at least one category lower (e.g., from 5 to 4 or from 4 to 3) if prior chest X-ray was initially graded as category 3–5. 2.4. Statistical Analysis The means and standard deviations (SD) for absolute values and median values with interquartile ranges (IQR) for continuous variables are presented for patients’ demographic data, clinical and radiographic findings, and outcomes. The chi-square test or Fisher’s exact test and Wilcoxon rank-sum test were used to compare the data, as appropriate. An analysis of variance was used to compare the data across illness severity groups. A logistic regression analysis was used to assess factors associated with disease progression and outcomes, which are reported as odds ratios (OR) and 95% confidence intervals (CI). Those parameters with p < 0.05 in the univariate analysis were included in",text,1
chest X-ray findings in pneumonia,access-khan-3027685_chunk40,"A team of researchers from Qatar University, Doha, and the University of Dhaka, Bangladesh, along with collaborators from Pakistan and Malaysia with medical doctors have created a database of chest X-Ray images for COVID-19 positive cases along with Normal and Viral Pneumonia images. In the current release, there are 219 COVID-19 positive images, 1341 normal images and 1345 viral pneumonia images. The authors said that they would continue to update this database as soon as new X-Ray images for COVID-19 pneumonia patients. The project can be found at GitHub with MATLAB codes and trained models: https://github.com/tawsifur/COVID-19-Chest-X-Ray-Detection . The research team managed to classify COVID-19, Viral pneumonia and Normal Chest X-Ray images with an accuracy of 98.3%. This scholarly work was submitted to Scientific Reports (Nature), and the manuscript was uploaded to ArXiv. Please make sure to give credit while using the dataset, code and trained models. • COVID-19 Image Data Collection [62] - An initial COVID-19 open image data collection is provided by Joseph Paul Cohen. all images and data are released under the following URL https://github.com/ieee8023/covid-chestxray-dataset . • COVIDx Dataset [42] - This is the release of the brand-new COVIDx dataset with 16,756 chest radiography images across 13,645 patient cases. The current COVIDx dataset is constructed by the open-source chest radiography datasets at https://github.com/ieee8023/covid-chestxray-dataset and https://www.kaggle.com/c/rsna-pneumonia-detection-challenge . It is a combination of data provided by many parties: the Radiological Society of North America (RSNA), others involved in the RSNA Pneumonia Detection Challenge, Dr Joseph Paul Cohen, and the team",text,1
chest X-ray findings in pneumonia,healthcare-09-00522_chunk6,"effectively. For the diagnosis of pneumonia, the chest X-ray image is analyzed by the Generative Adversarial Networks (GAN) and Deep Transfer Learning (DTL) method [ 17 ]. Different DTL techniques, such as AlexNet, ResNet18, GoogLeNet, and SqueezNet, have been chosen to diagnose pneumonia from chest X-ray findings. They concluded that ResNet18 is the most acceptable DTL model with a test accuracy of 99%. It has been inferred from the available literature that, although AI has a broad use for healthcare, it is hardly utilized. Efficient scanning of affected patients, such as separation and care of regular patient scans, is crucial and necessary for resolving harmful Coronavirus. The rRT-PCR [ 18 , 19 ] is currently the key screening technique used to classify COVID-19. The diagnosis is done on the patient’s breathing samples, and results should be available within a few hours to 2 days. The pictorial data from chest X-ray images could be an alternative approach to the PCR screening technique. Many studies such as [ 20 , 21 ] depict the chest imaging of the body could help diagnose COVID-19. Radiologists have also found that patients with symptoms of COVID-19 have CT characteristic imaging features on their lungs, such as peripheral ground-glass opacities and consolidations, which can separate the patient infected with Coronavirus from those diseased with no Coronavirus [ 22 , 23 ]. Researchers conclude that in the diagnosis, measurement, and monitoring of Coronavirus cases, the imaging technique can be an effective tool. A screening method based on",text,1
chest X-ray findings in pneumonia,healthcare-09-00522_chunk8,"performance various models was not investigated for multiclass classification. These methods are encouraging on limited samples of data but are not offering a final solution. Before putting them into practice, these methods will require extensive study and development. As a result, scientists are working to create extremely detailed and efficient AI-based techniques to diagnose and control COVID-19. To identify some special features of COVID-19 patients from chest X-ray images, scientists rely on deep learning (DL) approaches. DL method is very common in different graphical tasks in the recent past, including medical image recognition. By recognizing and correctly classifying patterns in medical images, automatic detection and management of diseases have been revolutionized by DL techniques. The reason for such popularity is that DL techniques do not depend on hand-created elements, but the data themselves automatically acquire characteristics from these algorithms [ 26 ]. In the past, DL has helped detect various diseases, using chest X-ray images. CheXNet [ 27 ] is a version of a Deep Neural Network (DNN) which detects pneumonia in chest X-ray images. CheXNet has collected outstanding findings, exceeding the cumulative performance of radiologists. A DNN prototype was formulated to detect chest infections using chest X-ray images by a tool named Chest-Net [ 28 ]. The evolution of AI-based methods in automated medical analysis and the fast growth in cases of COVID-19 also demanded an automatic AI-based detection and diagnosis device. Several researchers have lately used radiology images to identify COVD-19. Diagnosing COVID-19 using X-ray data of the",text,0
chest X-ray findings in pneumonia,diagnostics-15-01500_chunk42,"false positives. The recall (Sensitivity) results again placed EMO in the lead, achieving 99.1% on Chest X-ray Dataset 2 and 98.35% on Chest X-ray Dataset 1, confirming its high sensitivity in detecting lung abnormalities. HSA performed similarly, achieving 99.3% on Chest X-ray Dataset 2. However, AMO showed a notable decrease in recall on Chest X-ray Dataset 2, with only 80.39%, revealing its limitation in correctly identifying true positive cases in this dataset. Overall, EMO proved to be the most balanced algorithm, consistently achieving high performance across all metrics and datasets. HSA also demonstrated strong performance, particularly in precision and specificity, but showed slight variability in handling complex cases. AMO, while effective on some datasets, exhibited noticeable performance drops, particularly on Dataset 2, highlighting the need for further optimization to improve its consistency in segmentation and classification tasks. 4.3. Performance Evaluation and Comparison with Recent Literature The proposed methods AMO, EMO, and HSA were evaluated on COVID-19, pneumonia, and normal chest X-ray datasets. The results, summarized in Table 7 , demonstrate the comparative performance of these methods against recent state-of-the-art approaches. The proposed methods AMO, EMO, and HSA demonstrated state-of-the-art performance in classifying COVID-19, pneumonia, and normal chest X-ray images. AMO achieved high precision (99.1%) and competitive recall (98.84%), making it effective in minimizing false positives. EMO and HSA outperformed existing approaches, with near-perfect accuracy (99.1% for EMO and 99.33% for HSA), precision (99.9% for both), and recall (99.1% for EMO and 99.3% for HSA). These results highlight the robustness of",text,1
chest X-ray findings in pneumonia,ijerph-08-00899_chunk12,"tract it is judged pathologically that fibrosis begins from the most remote location. However, once fibrosis progressed to a honeycomb lung, we cannot judge if it is asbestosis or chronic interstitial pneumonia. For this reason, except for the point regarding whether or not asbestos bodies exist, in the pathological diagnosis of completed asbestosis, it is difficult to judge that it is another type of interstitial pneumonia. There were 16 cases in which the diagnosis was asbestosis based on pathological findings, 6 of theses cases were classical asbestosis, and 4 other cases had characteristics of asbestosis based on radiological results. The PR classifications for the cases of histopathology based asbestosis were 3 cases of type 0, 4 cases of PR1, 4 cases of PR2, and 7 cases of PR3. Four of the remaining 6 cases indicated pathologically confirmed fibrosis from the bronchiole wall or the surrounding area but showed only minor findings based on radiology, and the chest x-ray could not confirm fibrosis of classification PR1/1 or higher. Furthermore, there were two cases in which findings of pulmonary emphysema were the main indication but there were only minor findings of fibrosis. More specifically, even though they showed histopathological findings of asbestosis of Grade I–II, or Grade III, their chest x-rays showed only a minor level of fibrosis that does not exceed the PR1/1 classification of an irregular shaped shadow. In these cases, although subpleural dots, interlobular septum hyperplasia, etc. are detected at a comparatively early stage in HRCT imaging when looking",text,0
